C,Accuracy
0.001,0.9705882352941176
0.01,0.9705882352941176
0.1,0.9705882352941176
1.0,0.9705882352941176
10.0,0.9852941176470589
50.0,0.9852941176470589
100.0,1.0
500.0,1.0
1000.0,1.0
